%pc_wealth_adj,factor
79176.6,290
225222.6,1602
48717.94,729
42328.51,1834
31266.02,11
55488.38,218
307856.5,71
384361.3,2545
93443.29,1532
441369.2,1708
46375.94,271
41923.57,2322
90406.8,5116
228105.1,1532
89747.12,655
215337.4,6299
12786.62,718
102655,21
155518.5,1273
40314.23,483
37306.61,218
89727.35,670
30685.06,1159
389947.6,2302
17361.86,980
47779,542
633151.5,751
8050.696,49
14250.09,4514
187510.9,763
99225.82,3525
258435.2,2531
218262.1,394
12676.69,581
26268.14,396
103248.8,229
106865.4,1474
152898.1,1143
87864.23,581
28319.93,581
110761.6,311
54325.54,3610
130319.3,1807
174090.5,4572
15943.33,1227
115537,173
20819.78,54
90538.76,576
165494,1239
231847.3,3470
139116.7,1972
95850.34,2584
112654.3,565
3304.69,290
35653.99,107
207144.8,3470
120677.4,1436
40251.79,218
237020.9,3628
151653.8,133
159615.8,2377
62054.8,1252
89638.66,577
153603.8,604
68381.32,1627
59578.98,106
15832.4,218
249036.3,404
71016.96,1494
123745,4819
0,1923
277091.3,293
87806.43,10295
59411.34,314
25636.83,1059
48909.25,39
34694.25,2887
150551.9,760
232297.5,570
25588.87,1767
133063.7,1424
19401.59,4025
137058.9,2887
127896.1,4706
113884.4,1017
1451.081,290
513117.4,383
1289.85,1423
68605.27,726
70936.27,166
191825.6,1637
45058.05,4025
74107.96,2996
198617.4,286
192456.3,726
262454.3,21
51285.99,380
172332.9,975
277299.2,256
153185.5,59
38767.09,460
30299.01,352
275501.6,1366
162176.4,878
35442.88,1846
135273.4,138
219301.1,1974
37083.34,97
219399.4,1350
8696.824,27
12340.52,109
53826.49,1680
59471.09,59
51146.46,198
23313.47,5469
525590.4,2800
263487.9,171
5867.247,59
80330.08,93
108.8338,13
144954.9,2455
72576.74,59
73902.06,900
46533.39,679
2902.162,27
118642.4,1056
109734.4,729
5923.464,109
20822.31,466
193668.4,500
566145.4,59
304299.3,163
170092.7,116
6675.275,59
165548,1553
134314.9,1708
73063.2,1091
216406.8,2545
244179.8,39
10719.13,27
189331.9,2302
252887.3,5204
317639.4,3470
35280.04,1159
251469.6,4572
71247.53,59
-4914.804,460
131214,2643
227532,269
719772.6,6680
156131.2,4581
68381.32,565
34954.67,305
45508.29,869
391056.2,466
64438.2,679
75357.09,130
255759,1699
144618.1,1791
83640.68,558
68.02113,13
36481.64,262
137344.6,1104
37438.01,557
492250.8,5406
84823.95,466
102959.9,591
74528.61,2549
447594.6,2032
77522.55,655
197409.8,1159
77505.91,581
787031.2,2717
286149.4,1699
114502.9,133
218709.7,244
43342.34,191
80588.93,379
177435.9,1987
102823.8,497
235342.2,2247
13102.92,310
155800.5,1553
201518.3,109
149966.8,1566
124627.6,1316
136.0423,247
55855.76,774
0,1227
3573.043,1299
387795.8,2639
227137.3,6680
199364,871
21438.26,612
156469.1,5204
93664.31,5768
391398.1,628
42984.13,838
25536.57,2322
61872.51,5271
195267.8,1396
363505,398
137036.4,8893
94837.1,1321
36410.6,4436
32877.72,679
106945.3,1941
287027.6,587
299504.1,1212
359470.5,1872
14052.82,439
10482.33,1073
74589.87,2040
40863.38,192
76499.44,4740
270325.8,1285
212948.6,1143
46888.21,633
180558.9,6234
184132.4,719
307853.6,1321
210723.7,1357
46626.95,300
192291,595
47863.93,975
80134.41,109
114749.8,6689
127093.3,1889
968446.9,528
167782.5,602
159644.3,1753
39109.88,1335
69855.51,394
5520.734,818
44301.54,353
196092.1,671
149607.7,132
38915.14,711
98893.06,244
40867.49,617
155091,121
202981.7,171
7487.38,1073
74673.3,1585
134921.5,840
303559.1,664
146614.4,1279
83171.04,655
432820.6,1187
214955.9,244
69719.38,633
254905.1,1978
110853.1,2455
19146.65,2549
112156.1,166
33584.02,1219
159776.4,511
64920.96,418
301554.2,2540
41744.9,353
538541.1,6234
0,679
54305.81,998
11608.65,1423
49917.34,260
155856.3,466
215717.5,1218
87806.43,1521
298645.1,120
0,29
84153.47,300
85545.79,396
254151.7,451
184610.4,1283
772232.4,89
125037.3,706
60253.99,330
89752.4,2996
38683.08,3132
82456.84,2610
75291.23,196
81734.98,396
72127.83,5768
43508.95,141
89171.96,652
112714.9,1021
70900.29,647
103994.6,2191
51285.99,280
86839.86,774
158482.4,5717
246789.5,1247
51721.32,539
80275.64,393
245659.9,1602
93253.9,1753
83928.02,198
61659.6,1000
171412.5,276
38059.89,405
65444.83,211
194353.3,805
101411.8,333
36793.66,39
48910.84,108
93664.31,243
3136.526,96
29302.87,1064
734770.9,454
77219.91,277
150328.4,329
70774.84,3180
105550,3470
193908.8,1900
391778.9,2452
93926.12,3809
57000.38,661
27372.41,196
116525.9,553
8735.277,17
79381.52,656
68381.32,2328
123745,1676
256646.6,218
278302,1987
101061.7,311
157472.6,2757
80332.45,2545
277758.9,205
444445.5,1465
113463.1,1070
269317.5,1705
103607.2,426
176286.9,1705
85058.59,3180
184827.1,3906
50324.11,845
139665.4,74
2503.228,32
6332.961,318
158921.3,497
60025.86,171
242473.3,2877
5367.554,2996
10750.11,11
127731.2,379
417609,286
4255.938,1423
181.3897,13
256136.8,116
220026.8,2722
184299.4,816
106118.2,1459
145573.5,840
82896.93,39
216963.1,2038
55869.59,271
168441,235
82681,4819
27464.69,181
107252.3,223
161481.1,5274
292118.4,1069
77069.69,539
114684.4,93
150714.8,13053
364654.8,2950
110054.3,711
280130.2,480
87760.49,6092
27662.83,4436
62717.36,138
18098.06,1226
96611.63,2590
302056.7,25592
223090.9,333
462878.8,4524
725301.3,155
120152.4,612
226814.7,89
13831.47,484
112442.8,120
27020.69,1299
133954.6,256
48947.55,869
87186.27,105
203655.8,434
632784.4,244
123687.7,553
2621.583,243
28632.55,2877
115260.5,1535
1451.081,980
61872.51,229
87774.63,280
68964.45,1319
142159.4,1602
80588.93,2584
419209.3,975
183650.6,405
445566.5,9183
36335.28,655
151891,132
357222.4,39
65075.63,2887
75003.41,1807
167734.5,300
59831.84,466
81294.84,722
410042.6,393
206690.8,1708
28988.9,305
192047.6,1489
44564.21,1489
46231.66,484
119713.1,1114
353442.7,324
378204,579
497983.4,365
266201.7,1623
118359.5,2360
