%pc_wealth_adj,factor
58602.58,996
39526.07,630
192241.9,694
23998.2,275
130360.4,9488
369794.9,261
280632.9,6407
56940.69,710
98796.91,1454
567345.6,654
94448.06,44
94879.21,1125
68381.32,524
467052,6058
180299.3,103
325684.8,925
91576.45,771
256380.4,526
38444.8,296
279053.7,1050
97416.74,3457
115393.7,1443
646317.1,1401
0,1378
198936.9,3884
111108.8,275
99793.01,832
185363.5,1919
62485.17,373
124397.7,2776
156080.5,580
586796.4,1468
84614.71,3430
85185.98,584
138430.8,584
97542.66,1704
133219,497
141261.3,716
111685.3,967
138263,1304
80453.67,699
102032,2730
94902.57,1206
476192.1,1244
568070,1551
101153.2,1826
132026.1,1186
47925.17,996
77367.73,832
178013.5,628
170649,1490
14740.24,179
135627.1,1378
453546.9,615
410729.6,8344
337025.1,723
170006.7,728
48925.61,884
74749.56,2176
504544.2,263
56540.08,244
73902.06,1534
16102.66,1351
217876.6,348
125275.7,42
150034.8,1069
1339.891,141
172082.7,1919
101344.2,380
140606.5,6753
576773.9,1796
149394.8,696
115501.5,622
311657.3,662
188143.3,584
101371.1,2238
156421.8,1792
24031.24,560
190953.7,1050
113581.3,436
300816.4,1378
71806.34,120
305320.3,1255
178596,442
141614.5,576
44398.62,1161
163812.7,900
78499.88,1405
687507.3,108
0,343
157982.8,1198
77203.93,182
374475.3,143
61794.2,445
238425.3,1161
56713.22,318
219394.5,1620
164003.5,1468
97946.53,1033
132496.6,2781
95037.92,207
149914.2,459
150602.8,479
282691.8,959
71503.45,154
90992.28,275
219624.3,798
130406.5,2238
175465.9,1880
962977.6,110
563377.7,668
174380.6,1859
236540.3,1384
61186.73,1968
139692.7,759
95163.95,724
555769.7,1050
147515.5,439
180554.4,1744
301806.3,580
844104.4,397
28523.19,4370
50002.11,1776
753121.7,50791
144708.4,1648
232806.9,1165
33046.9,130
283328.7,1620
27498.89,302
131584.2,3152
63497.09,3773
76068.05,1034
223920.8,3049
153652,1045
224779.6,1221
98195.35,4072
278771.3,635
49108.15,462
143405.9,5732
134890.3,470
70871.98,54
127685.8,4373
51468.75,775
404029.5,1826
90179.76,497
84645.42,1031
117358,9794
257304.9,1050
507648,800
181762.6,1045
68547.16,366
122460.4,436
251042.4,477
152239.4,1014
92993.15,352
133060,44
100083.4,700
151176.1,866
74394.52,366
50059.29,2730
125395.7,862
347549.9,1998
175807.8,1551
15832.4,1047
130087.1,1885
184572.5,593
22156.92,2367
161063.6,433
203411.1,409
80134.41,818
106845.9,1096
376723.8,1659
82619.72,635
160268.8,909
228024.8,1420
59285.22,1429
73782.19,1061
135882.5,962
98731.09,134
108055.6,1071
132401.9,1071
55611.52,1071
641639.9,429
62949.5,154
92386.34,168
442854.6,567
433828.7,915
117518.8,342
156889.7,410
347512.7,3504
111284.2,526
463576.9,139
397817,2035
98010.19,2282
216394.9,1544
402944.7,1730
90149.66,1206
82775.94,528
752519.3,486
267231.7,312
545144.9,2609
48081.36,1348
109654.1,732
31095.81,546
65756.9,1808
298394.4,6407
94029.9,54
205392.4,263
115468.2,896
212778.9,433
176238.9,1299
168297,599
103714.4,343
128775.3,187
354871.7,2331
95792.38,343
539600.1,1014
204060.7,900
111432.2,433
193374.3,1414
60005.21,1352
420124.8,1096
132170.7,3664
141694.7,785
454070.4,1034
36109.15,380
68148.79,769
120961.2,1551
76022.93,2400
533017.6,442
89638.66,3457
28932.07,1066
141936.1,519
42242.8,2728
26635.01,2192
40052.94,5396
119221.3,1355
129956.7,973
120621.7,2785
128007.1,4037
123248.3,493
136383.4,6579
193579.3,340
256034.2,3884
97627.94,800
0,271
265665.2,5424
146607.1,102
190563.7,1960
100736.2,1660
150621.5,749
458143.6,3457
98191.14,662
197636.4,79
77119.63,399
52863.23,980
156317,2829
81734.98,320
4005.165,1507
147182.8,414
92168.44,716
86070.78,1660
122685.9,732
4287.651,1491
449164.9,366
151284.2,1007
108076.2,571
68743.63,1260
315220,1143
374562.9,539
70313.37,1114
235951.5,3095
148382.5,72
544111.7,1660
40134.16,575
157543.3,761
78243.89,1354
59691.44,119
64159.53,6599
179340,1024
261293.8,676
187664.3,1003
312060.3,41
172986.5,962
252857.8,1372
131856,1653
160268.8,417
142353.9,654
110623.3,594
175287.5,549
227244.3,3004
103314.1,700
250448.9,1299
253625.6,5424
15542.32,148
181812.6,962
191832.5,124
177311.6,701
140844.1,1929
115550.4,2728
215705.6,1789
96819.95,464
106040.9,2535
66462.24,1786
126777.5,340
188012.7,2106
164881,416
112197.8,2776
37956.71,1351
81982.82,1113
195101.2,1161
141424.5,98
108913.8,2753
25830.15,334
93312.22,1350
180689.2,700
31191.57,389
570355.1,1279
425274.8,2730
109356.6,392
88154.58,738
354004.5,1851
296.5064,141
141576.3,738
18226.09,343
223655.3,544
10897.03,343
179485.5,164
95708.97,1221
6675.275,343
165717.7,1806
88263.53,738
472469.6,654
52286.95,343
119056.4,1096
94892.38,1166
69202.44,1507
198678.3,98
179630.2,1333
255126.1,657
227675.6,5064
267767.3,141
15986.12,124
127193.4,2345
388165.8,1021
251734.4,3218
78006.94,366
143130.5,1620
91778.7,1853
42328.51,275
45791.09,246
29197.56,1454
123755.6,488
220940.9,784
125275.7,1265
101109.5,3049
116311.3,1253
330955.7,1253
57242.88,696
0,1927
47263.93,7254
137151.8,1109
130669.1,884
137320.3,1453
243446.2,653
227139.9,978
129232.2,61
305244.4,439
51511.13,540
936740.4,1776
164620.6,142
531242.6,884
108327.4,3445
143994,1114
98180.04,1356
376902.3,438
360933.2,1286
273813.8,4370
90720.93,1243
425857.2,800
66300.26,6599
689029.9,1423
167692.3,920
70447.73,3609
187846.4,6800
270546.9,884
437688.1,1136
75248.61,1066
268098.1,2157
170572.3,576
302433.5,884
376733,884
126443.4,3609
90762.91,1364
506935,332
185684.5,433
79052.13,2181
119766.1,603
197890.4,131
59495.96,36
116977.8,1033
224823.4,339
24139.32,2181
56408.35,1103
184298.7,1305
66013.06,605
41318.79,2181
160728,1209
382144.7,1968
40533.36,3773
93037.2,744
360646.7,2157
253523.3,464
158130.1,1338
142838.7,1253
280607.7,6318
270716.8,750
362.5461,154
5277.467,33
173656,652
153433.8,1178
152532.5,879
440002.9,142
186940.1,2171
49498.01,57
162005.1,462
210612.8,1303
49498.01,1808
122899.6,451
289202.9,1885
110623.3,1369
710483.1,1968
164907.5,3445
499682.3,1608
966.8795,22
29966.14,1047
638361.3,205
706779.7,271
243257.3,271
41028.79,1170
103014.3,920
3189.682,22
141557.5,1143
58929.78,1929
289426.2,9498
14430.66,154
4611.89,334
80134.41,428
130330.1,1744
436898.5,1453
959498.6,826
46659.27,3409
166789.5,1977
331267.7,1357
368905,978
102572,581
328621.3,509
148675.2,569
5403.982,33
65925.3,1103
201518.3,514
211753.7,1143
674240.7,1186
31869.24,622
108070.2,3884
58564.11,1515
149694.6,1240
129919.5,1789
345982.8,1400
299917.9,421
33021.33,724
163032.5,737
89763.37,509
343111.4,210
152886.6,1301
81892.48,2505
220299,509
49498.01,403
311883,977
82451.84,110
90654.97,311
35355.72,318
170920.3,537
143775.5,674
264692.8,324
441078.5,627
94746.59,451
145310.5,1620
90762.91,6599
5186.772,237
292488.1,1452
238758.3,381
43731.96,12
173746.1,275
434298.3,723
106281.3,1454
80635.92,593
30237.16,2955
574872.9,1186
116987.3,404
313671.5,2035
189067.4,205
133367.1,1425
309937.6,2147
266285.8,1660
89326.53,534
175001.6,316
215123.7,509
131096.5,3285
32407.21,36
43932.11,451
129828.4,7149
73502.68,1149
157038.6,977
120758.1,4504
220713.5,1907
140524.6,436
99226.89,654
63833.41,1802
453852.5,1279
49498.01,509
358380.8,6058
193428.2,925
177645.3,962
81192.17,1186
103573.5,686
92395.45,208
253830.9,4037
294938.8,859
121838.8,654
302056.7,1443
226058.5,1125
661557,1355
284035,1452
126349.6,1125
53034.79,1826
-3276.536,275
71840.63,528
358787.5,980
159425.8,1620
70757.34,724
307303.3,1683
198990.9,1700
192226.1,1994
163946.2,381
94061.66,58
241492.4,769
93596.62,4370
313092.4,320
459148.8,1000
78991.38,956
135907.3,302
166547.8,1301
13353.66,36
203188.5,2367
179351.7,205
0,884
199962.8,251
101772.2,1221
189867.3,1221
253702.4,3990
148440.6,354
51285.99,593
284430,112
64093.02,1660
324743.2,2810
27972.52,1221
97845.64,686
278528.6,1221
86637.16,1454
187278.7,906
104876.7,428
440263.6,436
230158,120
320751.1,4022
89839.02,1333
189002.5,1305
140629.2,1048
299985.5,931
13417.83,179
194217.7,973
340709.8,915
154385.8,1785
38693.53,404
70447.14,2801
94241.2,296
162455.4,844
406687.8,3897
56918.13,2781
82392.33,549
150584.2,5108
90191.38,1071
127192.2,1789
158104.3,654
157472.6,934
108048.4,9021
253807.2,728
83905.3,800
76813.29,674
116403.5,323
184042.7,1096
212343.2,1122
204051.7,311
257645.1,591
124098.7,275
168501.5,1180
158104.3,954
257137.6,2176
308245.1,1509
160170.7,41
60346.28,2367
366238.7,577
300240.5,395
97296.49,36
73932.47,591
201770,1660
157982.8,1137
25248.02,13490
14881.59,1802
510273.4,2181
196741.5,3095
187668.7,1660
100736.2,433
41875,832
338074.4,181
37075.12,179
271125.2,2324
241170.2,98
69938.2,1206
104469.4,622
90361.7,462
271207.6,1062
160947.8,967
157724.5,1515
320215.9,50791
242528.8,497
188877.3,8864
64107.53,728
114105.6,1875
141510.6,2785
264004.5,433
140734,51
118675.8,800
106845.9,381
25769.74,1491
148818.8,50791
142353.9,3409
606220,1608
135949.6,1502
130883.6,1138
136328.4,2829
164946.5,1919
68767.36,44
403412.3,479
222820.2,825
51224.35,652
471761.3,647
100497.2,12
125720.3,1704
94789.66,1333
378424.9,783
54033.57,301
102959.9,2505
159246.8,476
330893.8,1244
848057.9,401
412461.8,331
262484.6,436
63274.51,1047
637493.1,634
54439.04,296
51319.18,337
97168.69,579
567700.8,442
60247.07,1032
306425.2,1712
164813.3,421
222063.7,1480
120961.2,6601
436544.4,1820
139151.3,414
403239.4,500
337045.4,509
129176.8,526
557821.6,1501
154934.7,792
114041.3,1105
267597.3,1149
324860.9,1003
122512.7,1801
157800.6,2397
227332,930
85549.22,13490
70633.56,2192
132493.5,334
473551.8,9950
149511,2397
415099.4,570
427788.7,866
109017.9,775
181441.9,1313
25054.34,1405
75306.91,119
156382.4,72
59048.52,1216
95860.29,1981
15148.05,1386
148592.1,962
364886.4,8340
172653.1,526
95740.67,333
126308.6,1522
129393.6,1048
149794.3,769
331695.8,373
178537.9,271
167055.5,451
33840.08,79
514049.1,479
188113.7,1379
40618.91,1660
348295.4,825
521516.3,479
236225.1,366
117792.5,605
305987.3,1453
298529.6,526
36656.27,1452
169768,1522
83425.23,563
251483.2,123
210808.5,509
219273.1,1161
189122.2,3049
196994.7,2120
282377.2,1919
247744.5,410
39368.25,1024
21051.82,237
40395.78,2728
408385.7,1045
144988.4,110
51285.99,581
618756.3,1199
23980.2,389
183988.9,1165
193707.7,1744
190855.8,72
128271.7,759
209448.4,576
259169.2,1357
95799.95,1050
359857.9,421
173585.5,888
53082.27,2781
114210.4,459
95031.94,1544
130406.5,17079
75104.55,1538
256150.6,2106
23888.06,1047
282402,470
141154.8,1304
41179.9,141
313158.1,331
116790,433
74484.3,232
889044.7,688
351161.8,463
113169.1,3664
25353.38,263
277944.6,818
67598.43,1096
70553.37,1663
276862.8,366
209817,412
350714.5,1968
85115.59,79
128080.1,176
68381.32,796
150602.8,570
398982.7,804
44450.2,389
108214.1,2781
102316.9,3094
94488.34,433
151557.8,414
232334.1,605
231265,442
166623.4,1105
56639.86,801
200189.8,8728
492508.3,2157
246880.5,497
181245.1,445
95850.34,775
139206,9794
162629.4,686
325386.1,681
644021.3,1314
174789.5,1084
131588.7,875
349375.7,488
804716.5,1998
180443.9,795
200500.6,1031
90149.66,1033
159766.1,1301
217355.9,673
109287.7,895
64170.59,228
104736.7,1876
181979.6,1876
189748.8,1427
483446.3,429
260481.1,2557
292487.9,2505
68579.36,1648
245205,1730
65842.67,1507
81479.3,1031
290597.5,148
169487.1,232
122230.9,1876
156737.5,2776
99901.9,1364
157724.6,6800
34489.89,1802
65291.8,102
124414.8,323
86988.88,3457
155454.7,476
146422.7,339
158594.2,1820
132296.3,433
110404.4,2776
4523.543,1047
89306.34,403
281444.1,445
49040.99,516
670441.7,800
51831.72,752
149397,879
219166,85
160945.5,1907
235566.2,660
196254.7,436
105621.5,1429
643655.8,160
371215.4,1376
465767.1,1068
316268.4,1376
87792.19,1299
437415,925
138135.2,1880
57083.15,1034
165938.8,1776
108003.1,102
458671.2,1013
150602.8,1611
773382.3,713
62519.47,3449
422060.6,340
3041.575,33
115349.9,2801
189622.2,722
118487.1,1663
419193.9,1575
81483.83,733
166950.3,723
41494.41,13490
242504.4,1417
163196.5,1014
307408.7,3152
116425.9,220
288927.3,1986
267121.1,5039
173440,719
58220.97,900
26226.6,237
80810.27,2801
160633.7,500
91210.8,1885
648389.4,570
100642.9,3884
70377.2,9488
363366.5,716
660592.6,5039
208490.9,1802
182441,331
101847.3,761
201814.9,2282
51285.99,1480
211465.8,1268
174475.3,1816
188580.4,657
579876.9,707
622501.6,1474
237860.7,5064
354036.3,1114
119952.6,486
1451.081,130
173719,769
585474.9,1776
163573.8,413
27364.58,700
126137.1,1309
114890.1,1114
353163,608
83714.16,754
131676.6,10715
249731.5,1792
42328.51,1780
549882.9,4504
108256.2,716
124211.2,1697
358258.7,682
98760.27,3840
126653.3,674
315078.9,1653
361711.5,1660
64252.96,738
83459.89,1172
176588.6,1480
188652,110
126733.7,557
162002.2,2505
111780.8,2505
253017.5,766
129004.8,304
103784,164
762135.2,380
135354.6,825
377160.8,1779
246657.9,358
311098.7,110
198189.6,528
129584.6,1532
595649.8,800
44469.68,179
24386.29,179
2438.328,179
53470.29,179
187956.1,726
98315.88,3449
519761.4,5568
79141.57,1780
90149.66,2785
567731.3,2190
194952.3,1031
115052,164
260148.9,232
118642.4,1491
268299,934
145532.2,2007
74803.39,863
432924.6,526
336344.8,352
102982.7,897
211114.7,410
89004.05,1348
422916.3,1813
487745.2,476
82717.82,4370
31084.63,1728
49040.99,759
90965.38,1348
330478.9,1648
39738.06,1363
83901.38,1648
122061.5,1806
271186.4,410
205144,3940
77622.91,1348
90819.15,563
752423.3,730
265207.3,688
233591.4,41
167473.3,559
360598.6,373
555949.8,6300
113920.7,2753
291882.2,1522
404713.8,6173
61301.24,348
509795.7,723
142914.3,1149
